Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
339,Jaïro Riedewald\Jairo-Riedewald,nl NED,DF,Crystal Palace,2.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
340,Matt Ritchie\Matt-Ritchie,sco SCO,MF,Newcastle Utd,3.0,0,0,0,3,0,0,0.0,1.00,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
341,Roberto\Roberto,es ESP,GK,West Ham,7.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
342,Patrick Roberts\Patrick-Roberts,eng ENG,FWMF,Norwich City,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
343,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,18.2,1,0,0,11,4,0,36.4,0.60,0.22,0.09,0.25,0.9,0.9,0.08,+0.1,+0.1,Matches
344,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,7.1,1,0,0,13,3,0,23.1,1.83,0.42,0.08,0.33,2.1,2.1,0.16,-1.1,-1.1,Matches
345,Rodri\Rodri,es ESP,MF,Manchester City,14.9,2,0,0,9,6,0,66.7,0.60,0.40,0.22,0.33,0.4,0.4,0.05,+1.6,+1.6,Matches
346,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,8.1,3,0,0,18,7,0,38.9,2.23,0.87,0.17,0.43,1.7,1.7,0.09,+1.3,+1.3,Matches
347,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,1.3,0,0,0,1,0,0,0.0,0.75,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
348,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,12.5,0,0,0,5,0,0,0.0,0.40,0.00,0.00,,0.2,0.2,0.04,-0.2,-0.2,Matches
349,Danny Rose\Danny-Rose,eng ENG,DFMF,Tottenham,9.2,0,0,0,2,0,0,0.0,0.22,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
350,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,4.5,0,0,0,2,0,0,0.0,0.44,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
351,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
352,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,9.1,1,0,0,18,9,0,50.0,1.97,0.98,0.06,0.11,1.5,1.5,0.08,-0.5,-0.5,Matches
353,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,13.1,2,0,0,14,7,0,50.0,1.07,0.54,0.14,0.29,1.7,1.7,0.12,+0.3,+0.3,Matches
354,Bukayo Saka\Bukayo-Saka,eng ENG,MF,Arsenal,7.5,0,0,0,4,1,0,25.0,0.53,0.13,0.00,0.00,0.6,0.6,0.15,-0.6,-0.6,Matches
355,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,4.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
356,Mohamed Salah\Mohamed-Salah,eg EGY,FWMF,Liverpool,15.1,9,2,2,59,25,2,42.4,3.92,1.66,0.12,0.28,9.1,7.6,0.13,-0.1,-0.6,Matches
357,Carlos Sánchez\Carlos-Sanchez,co COL,MF,West Ham,1.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
358,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,15.0,0,0,0,4,2,0,50.0,0.27,0.13,0.00,0.00,0.6,0.6,0.15,-0.6,-0.6,Matches
359,Ismaila Sarr\Ismaila-Sarr,sn SEN,MF,Watford,8.6,3,0,0,23,6,0,26.1,2.68,0.70,0.13,0.50,2.5,2.5,0.11,+0.5,+0.5,Matches
360,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,13.3,2,0,0,14,4,1,28.6,1.05,0.30,0.14,0.50,1.0,1.0,0.07,+1.0,+1.0,Matches
361,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DFMF,Brighton,1.4,0,0,0,1,0,0,0.0,0.73,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
362,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,DFFW,Crystal Palace,9.5,2,0,0,14,7,0,50.0,1.47,0.73,0.14,0.29,1.5,1.5,0.11,+0.5,+0.5,Matches
363,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
364,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,8.2,0,0,0,5,0,0,0.0,0.61,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
365,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,1.8,0,0,0,1,0,0,0.0,0.56,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
366,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MF,Liverpool,1.9,1,0,0,4,1,0,25.0,2.07,0.52,0.25,1.00,0.5,0.5,0.12,+0.5,+0.5,Matches
367,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,2.9,1,0,0,3,1,0,33.3,1.04,0.35,0.33,1.00,0.7,0.7,0.22,+0.3,+0.3,Matches
368,Luke Shaw\Luke-Shaw,eng ENG,DFMF,Manchester Utd,6.5,0,0,0,6,3,0,50.0,0.92,0.46,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
369,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,11.5,5,0,0,24,8,5,33.3,2.09,0.70,0.21,0.63,1.7,1.7,0.07,+3.3,+3.3,Matches
370,Djibril Sidibé\Djibril-Sidibe,fr FRA,DFMF,Everton,10.5,0,0,0,6,1,0,16.7,0.57,0.10,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
371,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,15.8,1,0,0,31,10,3,32.3,1.97,0.63,0.03,0.10,2.0,2.0,0.06,-1.0,-1.0,Matches
372,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,13.1,5,0,0,28,11,0,39.3,2.14,0.84,0.18,0.45,4.0,4.0,0.14,+1.0,+1.0,Matches
373,David Silva\David-Silva,es ESP,MF,Manchester City,11.3,3,0,0,26,8,2,30.8,2.30,0.71,0.12,0.38,3.3,3.3,0.13,-0.3,-0.3,Matches
374,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,1.6,0,0,0,1,0,0,0.0,0.62,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
375,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,17.8,2,0,0,12,3,0,25.0,0.68,0.17,0.17,0.67,2.0,2.0,0.17,0.0,0.0,Matches
376,Oliver Skipp\Oliver-Skipp,eng ENG,MF,Tottenham,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
377,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,9.3,0,0,0,2,1,0,50.0,0.21,0.11,0.00,0.00,0.5,0.5,0.25,-0.5,-0.5,Matches
378,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,,Arsenal,1.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
379,Robert Snodgrass\Robert-Snodgrass,sco SCO,FWMF,West Ham,10.2,3,0,0,13,6,0,46.2,1.27,0.59,0.23,0.50,2.0,2.0,0.16,+1.0,+1.0,Matches
380,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,11.3,0,0,0,8,3,0,37.5,0.71,0.27,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5,Matches
381,Dominic Solanke\Dominic-Solanke,eng ENG,FW,Bournemouth,9.6,0,0,0,22,5,0,22.7,2.30,0.52,0.00,0.00,1.8,1.8,0.08,-1.8,-1.8,Matches
382,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,19.0,1,0,0,13,5,0,38.5,0.68,0.26,0.08,0.20,1.8,1.8,0.14,-0.8,-0.8,Matches
383,Dennis Srbeny\Dennis-Srbeny,de GER,MF,Norwich City,0.4,1,0,0,2,1,0,50.0,4.62,2.31,0.50,1.00,0.5,0.5,0.23,+0.5,+0.5,Matches
384,Jack Stacey\Jack-Stacey,eng ENG,FWMF,Bournemouth,8.9,0,0,0,3,1,0,33.3,0.34,0.11,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
385,Junior Stanislas\Junior-Stanislas,eng ENG,MF,Bournemouth,0.7,0,0,0,1,1,0,100.0,1.45,1.45,0.00,0.00,0.0,0.0,0.05,0.0,0.0,Matches
386,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
387,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,17.8,0,0,0,11,2,0,18.2,0.62,0.11,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4,Matches
388,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,11.3,1,0,0,2,1,0,50.0,0.18,0.09,0.50,1.00,0.2,0.2,0.10,+0.8,+0.8,Matches
389,Raheem Sterling\Raheem-Sterling,eng ENG,FWMF,Manchester City,18.6,11,0,1,56,19,1,33.9,3.02,1.02,0.20,0.58,9.6,8.7,0.17,+1.4,+2.3,Matches
390,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,20.0,1,0,0,12,2,0,16.7,0.60,0.10,0.08,0.50,0.5,0.5,0.04,+0.5,+0.5,Matches
391,Marco Stiepermann\Marco-Stiepermann,de GER,FWMF,Norwich City,10.2,0,0,0,18,5,0,27.8,1.76,0.49,0.00,0.00,1.5,1.5,0.08,-1.5,-1.5,Matches
392,John Stones\John-Stones,eng ENG,DF,Manchester City,7.8,0,0,0,5,1,0,20.0,0.64,0.13,0.00,0.00,0.6,0.6,0.12,-0.6,-0.6,Matches
393,Isaac Success\Isaac-Success,ng NGA,FW,Watford,0.6,0,0,0,1,1,0,100.0,1.80,1.80,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1,Matches
394,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,1.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
395,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,0.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
396,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,12.8,1,0,0,2,1,1,50.0,0.16,0.08,0.50,1.00,0.2,0.2,0.12,+0.8,+0.8,Matches
397,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,20.0,1,0,0,12,2,0,16.7,0.60,0.10,0.08,0.50,1.3,1.3,0.12,-0.3,-0.3,Matches
398,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,6.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
399,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,6.8,0,0,0,3,0,0,0.0,0.44,0.00,0.00,,0.2,0.2,0.07,-0.2,-0.2,Matches
400,Alexander Tettey\Alexander-Tettey,no NOR,MF,Norwich City,11.4,1,0,0,9,2,0,22.2,0.79,0.18,0.11,0.50,0.4,0.4,0.05,+0.6,+0.6,Matches
401,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,18.5,3,0,0,33,7,0,21.2,1.78,0.38,0.09,0.43,1.9,1.9,0.06,+1.1,+1.1,Matches
402,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,3.3,0,0,0,2,0,0,0.0,0.60,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
403,James Tomkins\James-Tomkins,eng ENG,DFMF,Crystal Palace,11.9,1,0,0,5,2,0,40.0,0.42,0.17,0.20,0.50,0.6,0.6,0.12,+0.4,+0.4,Matches
404,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,13.7,1,0,0,7,3,0,42.9,0.51,0.22,0.14,0.33,0.6,0.6,0.08,+0.4,+0.4,Matches
405,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,11.0,1,0,0,17,4,0,23.5,1.55,0.36,0.06,0.25,1.4,1.4,0.08,-0.4,-0.4,Matches
406,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,3.2,1,0,0,11,3,0,27.3,3.41,0.93,0.09,0.33,0.8,0.8,0.07,+0.2,+0.2,Matches
407,Andros Townsend\Andros-Townsend,eng ENG,FWMF,Crystal Palace,8.7,1,0,0,5,4,0,80.0,0.58,0.46,0.20,0.25,0.2,0.2,0.04,+0.8,+0.8,Matches
408,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,16.6,4,0,0,25,7,0,28.0,1.51,0.42,0.16,0.57,1.9,1.9,0.08,+2.1,+2.1,Matches
409,Trézéguet\Trezeguet,eg EGY,MF,Aston Villa,11.0,3,0,0,32,9,2,28.1,2.91,0.82,0.09,0.33,2.3,2.3,0.07,+0.7,+0.7,Matches
410,Leandro Trossard\Leandro-Trossard,be BEL,FW,Brighton,8.7,2,0,0,15,6,0,40.0,1.72,0.69,0.13,0.33,1.6,1.6,0.11,+0.4,+0.4,Matches
411,Tom Trybull\Tom-Trybull,de GER,DFMF,Norwich City,11.4,0,0,0,11,2,0,18.2,0.96,0.17,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4,Matches
412,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,2.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
413,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,6.2,0,0,0,2,1,0,50.0,0.32,0.16,0.00,0.00,0.2,0.2,0.12,-0.2,-0.2,Matches
414,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,1.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
415,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,19.0,17,3,3,48,26,0,54.2,2.53,1.37,0.29,0.54,11.1,8.8,0.20,+5.9,+5.2,Matches
416,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,12.3,1,0,0,1,1,0,100.0,0.08,0.08,1.00,1.00,0.0,0.0,0.03,+1.0,+1.0,Matches
417,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,10.4,1,0,0,7,4,0,57.1,0.67,0.39,0.14,0.25,0.5,0.5,0.07,+0.5,+0.5,Matches
418,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,3.3,0,0,0,2,0,0,0.0,0.61,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
419,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,2.2,1,0,0,6,2,1,33.3,2.71,0.90,0.17,0.50,0.3,0.3,0.05,+0.7,+0.7,Matches
420,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,0.9,0,0,0,2,0,0,0.0,2.17,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
421,Theo Walcott\Theo-Walcott,eng ENG,FWMF,Everton,6.6,0,0,0,19,5,0,26.3,2.87,0.76,0.00,0.00,1.3,1.3,0.07,-1.3,-1.3,Matches
422,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,16.1,1,0,0,11,2,0,18.2,0.68,0.12,0.09,0.50,0.8,0.8,0.07,+0.2,+0.2,Matches
423,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,2.7,0,0,0,1,0,0,0.0,0.37,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
424,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,16.9,0,0,0,5,1,0,20.0,0.30,0.06,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
425,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
426,Joel Ward\Joel-Ward,eng ENG,DFMF,Crystal Palace,12.3,0,0,0,3,1,0,33.3,0.24,0.08,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,Matches
427,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,20.0,4,1,2,32,15,15,46.9,1.60,0.75,0.09,0.20,4.1,2.4,0.10,-0.1,+0.6,Matches
428,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,14.4,3,0,0,11,6,0,54.5,0.76,0.42,0.27,0.50,0.7,0.7,0.07,+2.3,+2.3,Matches
429,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,2.3,0,0,0,5,2,0,40.0,2.14,0.86,0.00,0.00,0.6,0.6,0.13,-0.6,-0.6,Matches
430,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,17.0,0,0,0,6,0,1,0.0,0.35,0.00,0.00,,0.7,0.7,0.12,-0.7,-0.7,Matches
431,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,0.3,0,0,0,1,1,0,100.0,3.00,3.00,0.00,0.00,0.4,0.4,0.43,-0.4,-0.4,Matches
432,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,16.7,2,0,0,23,9,0,39.1,1.38,0.54,0.09,0.22,1.2,1.2,0.05,+0.8,+0.8,Matches
433,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,15.0,2,0,0,14,6,0,42.9,0.93,0.40,0.14,0.33,0.6,0.6,0.04,+1.4,+1.4,Matches
434,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,4.0,1,0,0,2,2,0,100.0,0.50,0.50,0.50,0.50,0.2,0.2,0.11,+0.8,+0.8,Matches
435,Willian\Willian,br BRA,MF,Chelsea,15.2,4,1,1,37,12,4,32.4,2.44,0.79,0.08,0.25,2.7,2.0,0.05,+1.3,+1.0,Matches
436,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,6.1,0,0,0,7,3,0,42.9,1.15,0.49,0.00,0.00,0.8,0.8,0.11,-0.8,-0.8,Matches
437,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,1.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
438,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,17.1,5,0,0,25,12,0,48.0,1.46,0.70,0.20,0.42,5.0,5.0,0.20,0.0,0.0,Matches
439,Harry Wilson\Harry-Wilson,wal WAL,MF,Bournemouth,10.7,6,0,0,30,12,9,40.0,2.79,1.12,0.20,0.50,2.1,2.1,0.07,+3.9,+3.9,Matches
440,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,11.1,0,0,0,7,2,0,28.6,0.63,0.18,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
441,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,16.4,7,0,0,32,17,0,53.1,1.95,1.04,0.22,0.41,6.2,6.2,0.19,+0.8,+0.8,Matches
442,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,13.2,0,0,0,7,2,0,28.6,0.53,0.15,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
443,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,9.2,3,0,0,20,9,1,45.0,2.17,0.98,0.15,0.33,1.5,1.5,0.07,+1.5,+1.5,Matches
444,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,7.5,1,0,0,1,1,0,100.0,0.13,0.13,1.00,1.00,0.7,0.7,0.68,+0.3,+0.3,Matches
445,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,6.2,0,0,0,4,3,0,75.0,0.65,0.48,0.00,0.00,0.6,0.6,0.14,-0.6,-0.6,Matches
446,Ashley Young\Ashley-Young,eng ENG,DFFW,Manchester Utd,10.6,0,0,0,3,0,0,0.0,0.28,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
447,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,3.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
448,Wilfried Zaha\Wilfried-Zaha,ci CIV,FWMF,Crystal Palace,19.3,3,0,0,30,9,0,30.0,1.56,0.47,0.10,0.33,2.2,2.2,0.07,+0.8,+0.8,Matches
449,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,8.4,0,0,0,2,0,0,0.0,0.24,0.00,0.00,,0.2,0.2,0.10,-0.2,-0.2,Matches
450,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,MF,Manchester City,7.6,0,0,0,10,2,0,20.0,1.32,0.26,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3,Matches
451,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,17.5,0,0,0,12,4,0,33.3,0.68,0.23,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches